Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2014-231962,7650882395,07/15/2014 08:00:00 PM,07/16/2014 05:48:00 AM,07/16/2014 05:48:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E3,FIRST HILL,7XX BLOCK OF SPRING ST,-122.329673968,47.60842795
2014-231948,7672475780,07/16/2014 05:03:00 AM,,07/16/2014 05:03:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N2,BITTERLAKE,122XX BLOCK OF AURORA AVE N,-122.344896093,47.71717447
2014-230617,7699964638,07/14/2014 09:30:00 PM,07/15/2014 05:30:00 AM,07/15/2014 05:59:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W2,ALASKA JUNCTION,48XX BLOCK OF FAUNTLEROY WAY SW,-122.38145936,47.55835656
2014-229240,7700480557,07/14/2014 01:00:00 AM,,07/14/2014 05:04:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SW,F,F3,HIGHLAND PARK,90XX BLOCK OF 3RD AVE SW,-122.338927296,47.52119323
2014-229279,7641531918,07/13/2014 08:00:00 PM,07/14/2014 05:00:00 AM,07/14/2014 05:03:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K1,DOWNTOWN COMMERCIAL,6XX BLOCK OF WESTERN AVE,-122.335580276,47.60229737
2014-229279,7641531920,07/13/2014 08:00:00 PM,07/14/2014 05:00:00 AM,07/14/2014 05:03:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K1,DOWNTOWN COMMERCIAL,6XX BLOCK OF WESTERN AVE,-122.335580276,47.60229737
2014-228161,7660623664,07/13/2014 02:45:00 AM,07/13/2014 05:00:00 AM,07/13/2014 05:29:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,C,C3,CENTRAL AREA/SQUIRE PARK,15XX BLOCK OF 17TH AVE,-122.310156887,47.61469027
2014-228157,7672214596,07/13/2014 05:11:00 AM,07/13/2014 05:16:00 AM,07/13/2014 05:16:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N3,GREENWOOD,9XX BLOCK OF N 85TH ST,-122.345864517,47.69056669
2014-225272,7640541252,07/11/2014 05:25:00 AM,,07/11/2014 05:25:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R3,LAKEWOOD/SEWARD PARK,67XX BLOCK OF 51ST AVE S,-122.269912295,47.5420434
2014-905768,7637784806,07/08/2014 09:05:00 PM,07/09/2014 06:35:00 AM,07/10/2014 05:59:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K1,DOWNTOWN COMMERCIAL,10XX BLOCK OF 4TH AVE,-122.333235569,47.60644458
2014-222505,7686244271,07/09/2014 05:36:00 AM,,07/09/2014 05:36:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R2,MOUNT BAKER,S GRAND ST / 22ND AVE S,-122.304266808,47.58692312
2014-222495,7662992663,07/08/2014 10:00:00 PM,07/09/2014 05:10:00 AM,07/09/2014 05:15:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F3,HIGHLAND PARK,86XX BLOCK OF 13TH AVE SW,-122.351840308,47.52558632
